Week,Covid-19: (Worldwide),vaccine: (Worldwide)
3/1/2020,9,9
3/8/2020,31,15
3/15/2020,68,22
3/22/2020,85,20
3/29/2020,79,17
4/5/2020,69,15
4/12/2020,58,14
4/19/2020,50,16
4/26/2020,45,15
5/3/2020,44,18
5/10/2020,43,15
5/17/2020,41,17
5/24/2020,36,12
5/31/2020,37,11
6/7/2020,41,12
6/14/2020,43,12
6/21/2020,41,13
6/28/2020,39,15
7/5/2020,38,15
7/12/2020,41,23
7/19/2020,41,21
7/26/2020,40,17
8/2/2020,100,16
8/9/2020,35,25
8/16/2020,31,16
8/23/2020,29,14
8/30/2020,29,15
9/6/2020,29,16
9/13/2020,45,15
9/20/2020,29,14
9/27/2020,26,14
10/4/2020,21,13
10/11/2020,21,14
10/18/2020,21,14
10/25/2020,21,13
11/1/2020,19,11
11/8/2020,20,28
11/15/2020,22,25
11/22/2020,19,22
11/29/2020,19,31
12/6/2020,20,46
12/13/2020,20,53
12/20/2020,19,44
12/27/2020,19,55
1/3/2021,20,69
1/10/2021,21,93
