Week,Coronavirus diseases: (Worldwide),COVID-19 vaccine: (Worldwide)
1/19/2020,3,0
1/26/2020,8,0
2/2/2020,4,0
2/9/2020,4,1
2/16/2020,3,1
2/23/2020,7,3
3/1/2020,12,4
3/8/2020,24,14
3/15/2020,24,22
3/22/2020,17,22
3/29/2020,12,18
4/5/2020,10,17
4/12/2020,9,17
4/19/2020,7,14
4/26/2020,5,14
5/3/2020,5,20
5/10/2020,5,16
5/17/2020,4,17
5/24/2020,3,15
5/31/2020,3,11
6/7/2020,3,17
6/14/2020,2,19
6/21/2020,3,18
6/28/2020,3,19
7/5/2020,3,19
7/12/2020,3,38
7/19/2020,2,30
7/26/2020,3,25
8/2/2020,2,32
8/9/2020,2,72
8/16/2020,1,26
8/23/2020,1,19
8/30/2020,2,22
9/6/2020,2,20
9/13/2020,2,21
9/20/2020,1,16
9/27/2020,1,16
10/4/2020,2,14
10/11/2020,1,13
10/18/2020,1,18
10/25/2020,1,16
11/1/2020,1,15
11/8/2020,1,31
11/15/2020,1,32
11/22/2020,1,29
11/29/2020,1,36
12/6/2020,1,57
12/13/2020,1,66
12/20/2020,1,55
12/27/2020,1,55
1/3/2021,1,73
1/10/2021,1,100
