Week,Toilet paper: (United States),Mask: (United States),Bread: (United States),Pajamas: (United States)
2020-01-26,1,19,2,2
2020-02-02,<1,12,2,2
2020-02-09,1,10,2,2
2020-02-16,<1,9,2,1
2020-02-23,1,35,2,2
2020-03-01,1,21,2,2
2020-03-08,18,29,2,1
2020-03-15,43,46,4,1
2020-03-22,21,50,4,2
2020-03-29,13,100,4,2
2020-04-05,9,79,4,2
2020-04-12,5,59,3,2
2020-04-19,3,50,3,2
2020-04-26,3,41,3,2
2020-05-03,1,36,3,2
2020-05-10,1,33,2,2
2020-05-17,1,29,2,2
2020-05-24,1,25,2,2
2020-05-31,1,22,2,2
2020-06-07,1,20,2,2
2020-06-14,1,23,2,2
2020-06-21,1,31,2,2
2020-06-28,1,35,2,1
2020-07-05,1,34,2,2
2020-07-12,1,41,2,1
2020-07-19,1,36,2,2
2020-07-26,1,32,2,2
2020-08-02,1,30,2,2
2020-08-09,1,27,2,3
2020-08-16,1,25,2,3
2020-08-23,1,22,2,2
2020-08-30,1,20,2,2
2020-09-06,1,20,2,3
2020-09-13,1,20,2,3
2020-09-20,1,22,2,4
2020-09-27,1,21,2,4
2020-10-04,<1,23,2,5
2020-10-11,1,23,3,5
2020-10-18,1,23,2,6
2020-10-25,1,23,2,6
2020-11-01,1,16,2,7
2020-11-08,1,16,2,8
2020-11-15,2,17,3,9
2020-11-22,2,13,2,10
2020-11-29,1,12,2,12
2020-12-06,1,13,2,11
2020-12-13,1,12,2,12
2020-12-20,1,11,2,7
2020-12-27,1,10,2,4
2021-01-03,1,12,2,3
2021-01-10,1,15,3,3
